# Resultados de ejecución para Fork
# Formato: N P Tiempo(µs)

100 1      2614
100 1      1917
100 1      3053
100 1      2545
100 1      1214
100 1      1222
100 1       781
100 1       795
100 1       940
100 1      1048
100 1      1280
100 1      1456
100 1      1961
100 1      2182
100 1      2143
100 1      1719
100 1      2116
100 1      1931
100 1      2188
100 1      1733
100 1      1521
100 1      1557
100 1      1378
100 1      1349
100 1      1072
100 1      1006
100 1       959
100 1       796
100 1      1050
100 1       843
100 2       692
100 2       832
100 2       883
100 2       677
100 2       777
100 2       820
100 2       884
100 2       595
100 2       583
100 2       617
100 2       604
100 2       543
100 2       554
100 2       575
100 2       504
100 2       536
100 2       564
100 2       752
100 2       778
100 2       474
100 2       592
100 2       804
100 2       673
100 2       633
100 2       535
100 2       747
100 2       565
100 2       537
100 2       515
100 2       589
100 4       766
100 4       669
100 4       937
100 4       736
100 4       628
100 4       952
100 4       876
100 4       959
100 4       876
100 4       801
100 4       960
100 4       591
100 4       735
100 4       846
100 4       540
100 4       828
100 4       732
100 4      1003
100 4      1002
100 4       974
100 4       770
100 4      1005
100 4       654
100 4       557
100 4       577
100 4       693
100 4       795
100 4       570
100 4       724
100 4       899
200 1      5492
200 1      5433
200 1      5890
200 1      5530
200 1      5503
200 1      6785
200 1      8071
200 1     13741
200 1     11071
200 1     10251
200 1      7619
200 1     13550
200 1      8200
200 1      5921
200 1      5635
200 1      6498
200 1      6619
200 1      5532
200 1      5652
200 1      5036
200 1      5022
200 1      5150
200 1      5002
200 1      5400
200 1      5422
200 1      5073
200 1      5550
200 1      6452
200 1      5510
200 1      6068
200 2      2933
200 2      3981
200 2      2839
200 2      2856
200 2      3631
200 2      2907
200 2      3260
200 2      2966
200 2      2887
200 2      2952
200 2      2881
200 2      2854
200 2      2958
200 2      2895
200 2      2898
200 2      3139
200 2      2792
200 2      2846
200 2      2826
200 2      2898
200 2      2875
200 2      3024
200 2      2960
200 2      2949
200 2      2869
200 2      2951
200 2      3029
200 2      2939
200 2      3242
200 2      2862
200 4      2318
200 4      3053
200 4      1823
200 4      3051
200 4      3170
200 4      3430
200 4      2678
200 4      2583
200 4      3172
200 4      2737
200 4      3075
200 4      3298
200 4      2334
200 4      2844
200 4      1727
200 4      3038
200 4      2281
200 4      2994
200 4      5033
200 4      1966
200 4      3442
200 4      2928
200 4      3603
200 4      3947
200 4      2022
200 4      2339
200 4      2357
200 4      2777
200 4      3801
200 4      3585
400 1     48421
400 1     43347
400 1     43536
400 1     42221
400 1     42672
400 1     42561
400 1     41817
400 1     38931
400 1     39920
400 1     44534
400 1     45038
400 1     40093
400 1     43401
400 1     44725
400 1     47559
400 1     43051
400 1     44145
400 1     44233
400 1     43488
400 1     46431
400 1     42436
400 1     40507
400 1     41778
400 1     42297
400 1     39348
400 1     43770
400 1     43860
400 1     42717
400 1     46731
400 1     41658
400 2     22393
400 2     21156
400 2     19805
400 2     25598
400 2     20564
400 2     21311
400 2     27679
400 2     28520
400 2     22376
400 2     21864
400 2     24111
400 2     22344
400 2     21706
400 2     21379
400 2     22035
400 2     20399
400 2     35035
400 2     46727
400 2     41091
400 2     35729
400 2     33681
400 2     28271
400 2     25771
400 2     22278
400 2     21403
400 2     20900
400 2     20890
400 2     23080
400 2     23423
400 2     22341
400 4     13310
400 4     12171
400 4     10968
400 4     12066
400 4     11870
400 4     11922
400 4     20218
400 4     11229
400 4     11143
400 4     12957
400 4     16138
400 4     13153
400 4     18453
400 4     12768
400 4     36583
400 4     14115
400 4     13519
400 4     13281
400 4     12604
400 4     11640
