# Resultados de ejecución para Posix
# Formato: N P Tiempo(µs)

100 1      3092 
100 1      5238 
100 1      4812 
100 1      2324 
100 1      1858 
100 1      3435 
100 1      2320 
100 1      1968 
100 1      1855 
100 1      1450 
100 1      3028 
100 1      4617 
100 1      1604 
100 1      1484 
100 1      2413 
100 1      1458 
100 1      4102 
100 1      3164 
100 1      4145 
100 1      2879 
100 1      1567 
100 1      1444 
100 1      2051 
100 1      2142 
100 1      1682 
100 1      1808 
100 1      1943 
100 1      1868 
100 1      2974 
100 1      1663 
100 2      1028 
100 2      1032 
100 2      1184 
100 2      1108 
100 2       987 
100 2      1076 
100 2      1119 
100 2      1064 
100 2      1019 
100 2      1063 
100 2      1112 
100 2      1160 
100 2      1036 
100 2       957 
100 2      1019 
100 2       928 
100 2      1058 
100 2       972 
100 2       943 
100 2       952 
100 2      1140 
100 2      1108 
100 2       956 
100 2       915 
100 2      1015 
100 2      1017 
100 2      1046 
100 2       911 
100 2       982 
100 2       923 
100 4       805 
100 4      1219 
100 4      1921 
100 4      1211 
100 4      1251 
100 4      1411 
100 4      1171 
100 4       945 
100 4       872 
100 4      1063 
100 4       813 
100 4       969 
100 4      1114 
100 4       807 
100 4       715 
100 4       821 
100 4       801 
100 4       812 
100 4       865 
100 4      1074 
100 4       793 
100 4       876 
100 4      1005 
100 4       955 
100 4       869 
100 4      1211 
100 4      1389 
100 4       949 
100 4       754 
100 4       762 
200 1     11760 
200 1     13366 
200 1     15853 
200 1     13200 
200 1     15866 
200 1     12653 
200 1     19518 
200 1     11866 
200 1     19193 
200 1     12077 
200 1     18959 
200 1     17496 
200 1     14093 
200 1     19095 
200 1     11650 
200 1     12661 
200 1     12155 
200 1     11823 
200 1     11571 
200 1     19226 
200 1     15834 
200 1     12382 
200 1     20785 
200 1     18950 
200 1     19373 
200 1     11659 
200 1     18502 
200 1     19975 
200 1     17904 
200 1     19386 
200 2     10734 
200 2      8822 
200 2      6186 
200 2      6171 
200 2     13448 
200 2     15332 
200 2     12448 
200 2     11304 
200 2      6121 
200 2     12706 
200 2      8286 
200 2     12882 
200 2      7478 
200 2      6410 
200 2      7815 
200 2     11268 
200 2      6435 
200 2     10463 
200 2     10002 
200 2     11956 
200 2     11620 
200 2      6221 
200 2     12671 
200 2     16469 
200 2     13370 
200 2      6359 
200 2     13103 
200 2     12668 
200 2     13696 
200 2      5997 
200 4      7808 
200 4      9190 
200 4      6689 
200 4      3586 
200 4      5202 
200 4      5779 
200 4      3544 
200 4      9752 
200 4      8693 
200 4      5437 
200 4      3539 
200 4      3322 
200 4      3274 
200 4      3473 
200 4      3179 
200 4      8711 
200 4      7667 
200 4      3915 
200 4      6468 
200 4      5866 
200 4      3561 
200 4      8515 
200 4      7808 
200 4      4001 
200 4      4196 
200 4     10149 
200 4      7305 
200 4      5100 
200 4      9747 
200 4      9945 
400 1    124891 
400 1    120930 
400 1    119312 
400 1    123866 
400 1    123283 
400 1    118855 
400 1    129225 
400 1    122383 
400 1    124697 
400 1    127730 
400 1    123440 
400 1    127971 
400 1    126286 
400 1    130866 
400 1    118370 
400 1    118965 
400 1    115213 
400 1    131134 
400 1    130722 
400 1    120583 
400 1    127506 
400 1    122555 
400 1    121649 
400 1    123013 
400 1    125021 
400 1    116684 
400 1    120064 
400 1    114908 
400 1    129553 
400 1    136812 
400 2     64696 
400 2     63408 
400 2     61292 
400 2     64217 
400 2     71675 
400 2     56926 
400 2     64081 
400 2     61413 
400 2     64997 
400 2     62941 
400 2     59763 
400 2     61216 
400 2     61046 
400 2     61411 
400 2     66139 
400 2     60881 
400 2     64225 
400 2     57389 
400 2     62308 
400 2     72525 
400 2     64481 
400 2     60404 
400 2     67949 
400 2     60578 
400 2     61063 
400 2     64387 
400 2     70151 
400 2     59533 
400 2     68085 
400 2     63493 
400 4     36382 
400 4     35215 
400 4     40999 
400 4     33205 
400 4     36334 
400 4     32074 
400 4     34720 
400 4     33373 
400 4     37838 
400 4     32334 
400 4     36016 
400 4     37495 
400 4     30650 
400 4     36888 
400 4     34518 
400 4     36704 
400 4     36630 
400 4     37059 
400 4     33180 
400 4     39327 
400 4     40737 
400 4     35255 
400 4     33858 
400 4     31320 
400 4     34587 
400 4     37645 
400 4     34157 
400 4     37449 
400 4     33379 
400 4     34882 
600 1    430343 
600 1    479688 
600 1    437582 
600 1    428655 
600 1    456872 
600 1    430744 
600 1    403569 
600 1    436439 
600 1    399635 
600 1    427891 
600 1    465295 
600 1    471294 
600 1    443423 
600 1    444086 
600 1    440080 
600 1    444931 
600 1    433171 
600 1    445830 
600 1    445893 
600 1    431120 
600 1    414651 
600 1    434038 
600 1    419941 
600 1    431207 
600 1    452813 
600 1    443765 
600 1    412740 
600 1    417050 
600 1    444733 
600 1    442549 
600 2    217193 
600 2    222469 
600 2    233275 
600 2    239088 
600 2    205609 
600 2    221160 
600 2    214977 
600 2    206428 
600 2    236969 
600 2    215246 
600 2    225991 
600 2    214825 
600 2    214624 
600 2    223065 
600 2    212400 
600 2    216957 
600 2    213217 
600 2    231009 
600 2    217036 
600 2    235987 
600 2    229965 
600 2    236466 
600 2    234573 
600 2    244734 
600 2    222173 
600 2    233928 
600 2    235309 
600 2    217980 
600 2    213042 
600 2    237936 
600 4    122551 
600 4    119917 
600 4    125174 
600 4    114395 
600 4    124137 
600 4    110536 
600 4    110514 
600 4    123181 
600 4    118631 
600 4    117238 
600 4    117746 
600 4    118367 
600 4    130177 
600 4    121782 
600 4    117944 
600 4    136680 
600 4    114427 
600 4    111787 
600 4    117300 
600 4    110820 
600 4    113050 
600 4    114946 
600 4    116169 
600 4    114766 
600 4    108448 
600 4    117956 
600 4    116388 
600 4    121641 
600 4    117090 
600 4    112542 
1200 1   4648888 
1200 1   4707145 
1200 1   4563587 
1200 1   4792046 
1200 1   4638544 
1200 1   4716712 
1200 1   4766240 
1200 1   4633973 
1200 1   4604168 
1200 1   4845741 
1200 1   4820712 
1200 1   4795388 
1200 1   4622427 
1200 1   4585853 
1200 1   5026096 
1200 1   4943261 
1200 1   4702465 
1200 1   4549363 
1200 1   4928345 
1200 1   4652373 
1200 1   4845049 
1200 1   4705301 
1200 1   4735857 
1200 1   4714518 
1200 1   4805989 
1200 1   4887649 
1200 1   4745535 
1200 1   4624079 
1200 1   4899400 
1200 1   4885346 
1200 2   1940064 
1200 2   1957773 
1200 2   2059831 
1200 2   1904317 
1200 2   1983355 
1200 2   2007346 
1200 2   2096606 
1200 2   1958684 
1200 2   2028493 
1200 2   2089256 
1200 2   1940876 
1200 2   2002283 
1200 2   2325535 
1200 2   2050543 
1200 2   2201145 
1200 2   1960662 
1200 2   1987226 
1200 2   2455747 
1200 2   2259381 
1200 2   2036005 
1200 2   2022703 
1200 2   1955944 
1200 2   2411093 
1200 2   1959862 
1200 2   2016115 
1200 2   1995236 
1200 2   1993517 
1200 2   1956119 
1200 2   2031763 
1200 2   2051984 
1200 4    972699 
1200 4   1004791 
1200 4    920987 
1200 4    902005 
1200 4   1129430 
1200 4    940431 
1200 4    949639 
1200 4    973348 
1200 4    936987 
1200 4    972325 
1200 4    949443 
1200 4    955371 
1200 4    915354 
1200 4    950800 
1200 4    977316 
1200 4    918724 
1200 4    972156 
1200 4    925124 
1200 4    940131 
1200 4    989838 
1200 4    905711 
1200 4    961665 
1200 4    904321 
1200 4    934984 
1200 4    964509 
1200 4    947078 
1200 4    955821 
1200 4    976519 
1200 4    957452 
1200 4    981680 
2400 1 103942930 
2400 1 105760334 
2400 1  93503613 
2400 1 107515021 
2400 1 105332643 
2400 1  98048194 
2400 1 101803761 
2400 1  97381384 
2400 1  96641152 
2400 1 105525076 
2400 1 102456757 
2400 1 101343916 
2400 1 102121748 
2400 1  86879481 
2400 1  89664988 
2400 1 105439458 
2400 1  98637723 
2400 1  92702546 
2400 1  93512764 
2400 1  92586506 
2400 1  96903277 
2400 1 101765486 
2400 1  86893511 
2400 1  94453591 
2400 1  92751647 
2400 1  94014188 
2400 1  95584053 
2400 1  92976905 
2400 1  90475008 
2400 1 101040950 
2400 2  46922564 
2400 2  43965754 
2400 2  46603577 
2400 2  47675785 
2400 2  44064925 
2400 2  46308929 
2400 2  48033744 
2400 2  47129821 
2400 2  44484099 
2400 2  44700071 
2400 2  45929757 
2400 2  46011229 
2400 2  42728239 
2400 2  46179419 
2400 2  41649541 
2400 2  43100853 
2400 2  46998925 
2400 2  44394797 
2400 2  47438701 
2400 2  46954004 
2400 2  46209398 
2400 2  41301085 
2400 2  43528324 
2400 2  45406104 
