# Resultados de ejecución para OpenMP
# Formato: N P Tiempo(µs)

100 1       412
100 1       370
100 1       389
100 1       507
100 1       441
100 1       392
100 1       369
100 1       423
100 1       395
100 1       510
100 1       417
100 1       400
100 1       409
100 1       453
100 1       496
100 1       463
100 1       391
100 1       434
100 1       512
100 1       396
100 1       388
100 1       413
100 1       417
100 1       422
100 1       469
100 1       496
100 1       494
100 1       445
100 1       460
100 1       408
100 2       365
100 2      1118
100 2       420
100 2       337
100 2       370
100 2       555
100 2       367
100 2       386
100 2       444
100 2       428
100 2       322
100 2       322
100 2       397
100 2       396
100 2       505
100 2       620
100 2       337
100 2       362
100 2       364
100 2       368
100 2       281
100 2       378
100 2       334
100 2       683
100 2       686
100 2       909
100 2       359
100 2       688
100 2       326
100 2      1095
100 4       489
100 4       438
100 4       475
100 4       303
100 4      1792
100 4      1514
100 4      1742
100 4      1252
100 4      1447
100 4      1287
100 4      1442
100 4      1543
100 4       979
100 4       362
100 4       410
100 4       460
100 4       443
100 4       409
100 4       429
100 4       397
100 4       400
100 4       475
100 4       460
100 4       471
100 4       452
100 4       420
100 4       506
100 4       413
100 4       345
100 4       599
200 1      4755
200 1      4283
200 1      4367
200 1     13056
200 1      7134
200 1      6528
200 1      6187
200 1      6018
200 1      7951
200 1      4976
200 1      6811
200 1      4369
200 1      4101
200 1      5861
200 1      4661
200 1      5986
200 1      4248
200 1      4144
200 1      4174
200 1      4108
200 1      4122
200 1      5649
200 1      4376
200 1      4096
200 1      4128
200 1      4246
200 1      4439
200 1      4257
200 1      4134
200 1      4573
200 2      3059
200 2      2501
200 2      2492
200 2      5342
200 2      2251
200 2      2534
200 2      2295
200 2      3611
200 2      3103
200 2      2329
200 2      3309
200 2      4978
200 2      2374
200 2      2254
200 2      2484
200 2      2278
200 2      2552
200 2      2631
200 2      2815
200 2      2347
200 2      4717
200 2      4669
200 2      4161
200 2      3590
200 2      2573
200 2      2355
200 2      2262
200 2      2412
200 2      2258
200 2      2214
200 4      2634
200 4      2411
200 4      2307
200 4      1790
200 4      2483
200 4      3267
200 4      2527
200 4      4073
200 4      4166
200 4      3589
200 4      1568
200 4      4163
200 4      4201
200 4      2885
200 4      2320
200 4      2754
200 4      2460
200 4      1889
200 4      3491
200 4      8992
200 4      1436
200 4      3081
200 4      3855
200 4      3438
200 4      2536
200 4      3125
200 4      4427
200 4      3748
200 4      3338
200 4      2407
400 1     87274
400 1     45291
400 1     39969
400 1     41574
400 1     41049
400 1     40532
400 1     40811
400 1     40706
400 1     40719
400 1     40892
400 1     41034
400 1     42807
400 1     39035
400 1     42502
400 1     38268
400 1     41115
400 1     36113
400 1     39501
400 1     38709
400 1     37316
400 1     54191
400 1     37121
400 1     38571
400 1     36997
400 1     38549
400 1     38099
400 1     36396
400 1     38659
400 1     39656
400 1     45510
400 2     24719
400 2     19537
400 2     19164
400 2     18315
400 2     18372
400 2     18054
400 2     19413
400 2     18257
400 2     17952
400 2     18310
400 2     39551
400 2     50071
400 2     35185
400 2     33090
400 2     22072
400 2     26730
400 2     21935
400 2     28137
400 2     20358
400 2     18564
400 2     21460
400 2     18579
400 2     19047
400 2     18469
400 2     18854
400 2     17245
400 2     18455
400 2     19107
400 2     20239
400 2     18246
400 4      9332
400 4     10081
400 4     10257
400 4     10441
400 4     20527
400 4     11947
400 4     11443
400 4     13067
400 4     10337
400 4      9927
400 4     12693
400 4     10252
400 4     17460
400 4     11409
400 4     15773
400 4     10811
400 4     19157
400 4     11014
400 4     11845
400 4     13010
400 4     13823
400 4     13307
400 4     10599
400 4     19051
400 4     22291
400 4     16803
400 4     18876
400 4     11812
400 4     16787
400 4     18097
600 1    162959
600 1    175424
600 1    165008
600 1    168635
600 1    179461
600 1    162447
600 1    153399
600 1    156709
600 1    166834
600 1    170785
600 1    163995
600 1    184314
600 1    167518
600 1    164049
600 1    165826
600 1    160406
600 1    185141
600 1    186605
600 1    191660
600 1    178031
600 1    157812
600 1    176083
600 1    162021
600 1    168930
600 1    167038
600 1    162922
600 1    155428
600 1    179983
600 1    180066
600 1    159218
600 2     98733
600 2     85720
600 2     88307
600 2     79685
600 2     87870
600 2    108671
600 2     96231
600 2     97184
600 2     82504
600 2     82481
600 2     89811
600 2     98823
600 2     87526
600 2     86819
600 2     90182
600 2     97991
600 2     84852
600 2     92575
600 2     84264
600 2     89099
600 2     88227
600 2     86587
600 2     81292
600 2     81682
600 2     78191
600 2     98348
600 2     89868
600 2     89634
600 2     93183
600 2     92564
600 4     50562
600 4     99245
600 4     46438
600 4     47762
600 4     46806
600 4     83824
600 4     50962
600 4     64369
600 4     94100
600 4     58801
600 4     50459
600 4     61597
600 4     49626
600 4     87305
600 4     42056
600 4     67537
600 4     49125
600 4     49749
600 4     50963
600 4     47767
600 4     46540
600 4     63013
600 4     80813
600 4     59200
600 4     51176
600 4     57402
600 4     66482
600 4     77232
600 4     70003
600 4     62067
1200 1   3063222
1200 1   3239569
1200 1   3111404
1200 1   2698953
1200 1   2809322
1200 1   2825247
1200 1   2787266
1200 1   2751398
1200 1   2752108
1200 1   3592008
1200 1   2639177
1200 1   2680670
1200 1   2257131
1200 1   2587600
1200 1   2619696
1200 1   2710153
1200 1   2593889
1200 1   2654516
1200 1   2608386
1200 1   2571715
1200 1   3048769
1200 1   3510903
1200 1   3808047
1200 1   3277456
1200 1   2938901
1200 1   3809963
1200 1   2700128
1200 1   2693565
1200 1   2833866
1200 1   3242976
1200 2   1615125
1200 2   1533384
1200 2   1537918
1200 2   2196099
1200 2   1750800
1200 2   1804302
1200 2   1896827
1200 2   1857594
1200 2   1737817
1200 2   1725410
1200 2   1627911
1200 2   1613195
1200 2   1512967
1200 2   1868673
1200 2   2019390
1200 2   2020718
1200 2   1582997
1200 2   1591718
1200 2   1761938
1200 2   1612951
1200 2   1490130
1200 2   1465112
1200 2   1511942
1200 2   1530192
1200 2   2158750
1200 2   1032660
1200 2   1894693
1200 2   2041807
1200 2   1622738
1200 2   1649381
1200 4    834083
1200 4   1007878
1200 4    771489
1200 4    898641
1200 4   1081500
1200 4   1004177
1200 4    877143
1200 4    923358
1200 4   1111861
1200 4    898049
1200 4    830506
1200 4    884052
1200 4    878991
1200 4    813681
1200 4    859582
1200 4    899784
1200 4    914681
1200 4    876354
1200 4    991335
1200 4   1053092
1200 4    961782
1200 4    985163
1200 4    892032
1200 4    862698
1200 4   1037519
1200 4    807578
1200 4    899728
1200 4    918453
1200 4    851467
1200 4    807146
2400 1  59573453
2400 1  58150263
2400 1  58875414
2400 1  55628054
2400 1  56267453
2400 1  54776356
2400 1  55206517
2400 1  55148294
2400 1  54366008
2400 1  55026166
2400 1  54559782
2400 1  54348071
2400 1  54714475
2400 1  55580522
2400 1  54648264
2400 1  54078250
2400 1  54717451
2400 1  54737357
2400 1  54941988
2400 1  54570215
2400 1  55468387
2400 1  55810792
2400 1  54778648
2400 1  59201267
2400 1  73499364
2400 1  55547896
2400 1  56065180
2400 1  55958684
2400 1  54371308
2400 1  55553587
2400 2  27195558
2400 2  27936791
2400 2  27338682
2400 2  27346359
2400 2  27686195
2400 2  34640967
2400 2  28371919
2400 2  27957853
2400 2  27910013
2400 2  28265064
2400 2  27404255
2400 2  27716356
2400 2  27241901
2400 2  27665030
2400 2  27547020
2400 2  27993773
2400 2  27390114
2400 2  27799327
2400 2  27982704
2400 2  27092346
2400 2  27613839
2400 2  27222047
2400 2  29761040
2400 2  31605494
2400 2  30509120
2400 2  35740465
2400 2  37689506
2400 2  41475674
2400 2  34343256
2400 2  32085988
2400 4  15434501
2400 4  15953894
2400 4  14645806
2400 4  16438986
2400 4  16665563
2400 4  15941652
2400 4  15911517
2400 4  16934314
2400 4  15820667
2400 4  16929022
2400 4  16029224
2400 4  16921332
2400 4  16506791
2400 4  14727371
2400 4  17219733
2400 4  15705465
2400 4  16126331
2400 4  16094313
2400 4  17625603
2400 4  16524347
2400 4  16264948
2400 4  17503840
2400 4  16270541
2400 4  14856445
2400 4  15262856
2400 4  15841393
2400 4  16193041
2400 4  15228867
2400 4  17025957
2400 4  15718628
